sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
Nostoc_linckia_NIES_25	Nostoc_linckia_NIES_25	NA	NA	no	terricolous	Free-living	Japan	Kagoshima Kagoshima	NA	NZ_AP018222	Hirose et al. 2017. Unpublished	
Nostoc_linckia_z4	Nostoc_linckia_z4	NA	NA	no	terricolous	Free-living	Israel		NA	NZ_LAHA01000000	Zhou 2015. Unpublished	
Nostoc_punctiforme_PCC_73102	Nostoc_punctiforme_PCC_73102	NA	NA	no	terricolous	symbiotic	Australia		NA	NC_010628.1	Shih et al. 2013	Root section of Macrozamia sp.
Nostoc_sp_ATCC_53789_v2	Nostoc_sp_ATCC_53789_v2	NA	NA	no	terricolous	NA	United Kingdom	"Scotland, Arron Island"	NA	NZ_LWSY01000000	Tabuxhi Yagui 2016. Unpublished	Lichen
Nostoc_sp_B_2019	Nostoc_sp_B_2019	NA	NA	no	terricolous	Free-living	Portugal	Old Cathedral of Coimbra	NA	NZ_WVID01000000	Tiago et al. 2019 (unpublished)	limestone walls
Nostoc_sp_JC1668	Zamia_pseudoparasitica_JC1668	zamiaceae	zamia	no	terricolous	symbiotic	Panama	"Omar Torrijos National Park, Provincia de Coclé"	NA	NZ_SZNH01000000	Bell-Doyon et al. 2020	Zamia pseudoparasitica
Nostoc_sp_KVJ20	Blasia_pusilla_KVJ20	blasiaceae	blasia	no	terricolous	symbiotic	Norway	"Troms, Kvaloya island"	NA	NZ_LSSA01000000	Halsør et al. 2019	Blasia pusilla
Nostoc_sp_Lobaria_pulmonaria_5183	Lobaria_pulmonaria_5183	lobariaceae	lobaria	no	epiphytic	symbiotic	Canada	"British columbia, _Cedar Road, Vancouver Island"	NA	NZ_CP026692.1	Gagunashvili and Andresson 2018	Lobaria pulmonaria on _Acer macrophyllum trunk 
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992	Peltigera_malacea_cyanobiont_DB3992	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	"Little Fort, British Co-"	NA		Xavier et al. 2012	
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A	Peltigera_membranacea_cyanobiont_210A	peltigeraceae	peltigera	no	terricolous	symbiotic	Iceland	"lumbia (51 37.50 N, 120 90 W"	NA		Gagunashvili and Andrésson 2018	
Nostoc_sp_Peltigera_membranacea_cyanobiont_213	Peltigera_membranacea_cyanobiont_213	peltigeraceae	peltigera	no	terricolous	symbiotic	Iceland	"Keldur, Reykjavik"	NA		Gagunashvili and Andrésson 2018	
Nostoc_sp_Peltigera_membranacea_cyanobiont_232	Peltigera_membranacea_cyanobiont_232	peltigeraceae	peltigera	no	terricolous	symbiotic	Iceland	"Keldur, Reykjavik"	NA		Gagunashvili and Andrésson 2018	
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6	Peltigera_membranacea_cyanobiont_N6	peltigeraceae	peltigera	no	terricolous	symbiotic	Iceland	"Keldur, Reykjavik"	NA		Gagunashvili and Andrésson 2018	
Nostoc_sp_UIC_10630	Nostoc_sp_UIC_10630	NA	NA	no	terricolous	Free-living	United States of America	"Downers Grove, Illinois"	NA	NZ_JAAGOG010000000	May et al. 2020	Soil
Nostoc_sphaeroides_CCNUC1	Nostoc_sphaeroides_CCNUC1	NA	NA	no	aquatic	Free-living	China	"Zouma, Hefeng County in Hubei Province"	NA	NZ_CP045226	Chen et al 2021	Rice paddy field
Nostoc_sphaeroides_Kutzing	Nostoc_sphaeroides_Kutzing	NA	NA	no	aquatic	Free-living	China	Enshi	NA	NZ_CP031941	Cheng et al. 2018. Unpublished	Water
P10073	Nephroma_resupinatum	nephromataceae	nephroma	yes		symbiotic	Canada	ABMI 875	ABMI ID 241800		This study	log/stump
P10160	Peltigera_aphthosa_5	peltigeraceae	peltigera	no		symbiotic	Canada	ABMI 963	ABMI ID 288992		This study	Tree/Other
P10246	Protopannaria_pezizoides	pannariaceae	protopannaria	no		symbiotic	Canada	ABMI 1425	ABMI ID 1269260		This study	log/stump
P10247	Leptogium	collemataceae	leptogium	no	terricolous	symbiotic	Canada	ABMI 1447	ABMI 1263667		This study	upland
P10264	Leptogium_saturninum	collemataceae	leptogium	yes	epiphytic	symbiotic	Canada	ABMI 930	ABMI 1521014		This study	Tree/Other
P1030	Peltigera_retifoveata	peltigeraceae	peltigera	no	terricolous	symbiotic	Norway		Magain s.n. (LG)		This study	
P10324	Peltigera_britannica_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 1232	ABMI ID 295052		This study	log/stump
P10894	Peltigera_malacea_2	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 292	ABMI ID 374039		This study	Wetland
P11060	Leptogium_saturninum	collemataceae	leptogium	no		symbiotic	Canada	ABMI 1510	ABMI 682872		This study	Tree/Other
P11388	Peltigera_neckeri	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 746 	ABMI ID 500616		This study	log/stump
P11425	Peltigera_aff_neorufescens	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	ABMI 1408	ABMI ID 3611		This study	upland
P1229	Peltigera_hymenina	peltigeraceae	peltigera	no	terricolous	symbiotic	United States of America	Oregon	B. McCune 30448; McCune Private Coll.		This study; Magain et al. 2017	
P12502	Pseudocyphellaria havaiiensis	lobariaceae	pseudocyphellaria	yes	epiphytic	symbiotic	Malaysia	GoLife Malaysia-Kinabalu-3-C2-P1	Malaysia;Kinabalu Park;Jolanta Miadlikowska;DUKE		This study	
P12521	Lobaria_sp	lobariaceae	lobaria	yes	epiphytic	symbiotic	Malaysia	GoLife Malaysia-Kinabalu-3-C1-P1	Malaysia;Kinabalu Park;Jolanta Miadlikowska;none		This study	
P12523	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	yes	epiphytic	symbiotic	Malaysia	GoLife Malaysia-Kinabalu-1-C2-P1	Malaysia;Kinabalu Park;Nicolas Magain;DUKE		This study	
P12537	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	no	epiphytic	symbiotic	Malaysia	Golife Malaysia-Kinabalu-3-C2-P1	Malaysia;Crocker Range Park;DUKE		This study	
P12545	Pannaria_rubiginosa	pannariaceae	pannaria	yes	epiphytic	symbiotic	Malaysia	GoLife Malaysia-Kinabalu-2-C1-P1	Malaysia;Kinabalu Park;Jolanta Miadlikowska;none		This study	
P12559	Pseudocyphellaria_guillemini	lobariaceae	pseudocyphellaria	yes	epiphytic	symbiotic	Chile	GoLife Chile-Mocho-1-C1-P1	Chile;Reserva Nacional Mocho-Choshuenco;Lutzoni et al.;None		This study	
P12560	Pseudocyphellaria_berberina	lobariaceae	pseudocyphellaria	no	epiphytic	symbiotic	Chile	GoLife Chile-Puyehue-1-C2-P1	Chile;Parque Nacional Puyehue;Lutzoni et al.;None		This study	
P12564	Pseudocyphellaria_corifolia	lobariaceae	pseudocyphellaria	yes	epiphytic	symbiotic	Chile	GoLife Chile-Malalca-1-C2-P1	"Chile;Reserva Nacional Malalcahuello;Lutzoni et al.;AZ, Chile"		This study	epiphytic/at the base of Araucaria
P12567	Sticta_hypochra	lobariaceae	sticta	no	epiphytic	symbiotic	Chile	GoLife Chile-Mocho-1-C1-P1	Chile;Reserva Nacional Mocho-Choshuenco;Lutzoni et al.;Chile		This study	
P12569	Sticta_caulescens	lobariaceae	sticta	no	terricolous	symbiotic	Chile	GoLife Chile-Crater-2-C1-P1	Chile;Parque Nacional Puyehue;Lutzoni et al.;Chile		This study	
P12570	Sticta_hypochra	lobariaceae	sticta	no	terricolous	symbiotic	Chile	GoLife Chile-Mocho-2-C2-P1	Chile;Reserva Nacional Mocho-Choshuenco;Lutzoni et al.;Chile		This study	
P12573	Nephroma_antarcticum	nephromataceae	nephroma	yes	epiphytic	symbiotic	Chile	GoLife Chile-Mocho-1-C1-P1	Chile;Reserva Nacional Mocho-Choshuenco;Lutzoni et al.;AZ		This study	
P12578	Gabura fascicularis	arctomiaceae	Gabura	no	terricolous	symbiotic	Chile	GoLife Chile-Angol-1-C1-P1	Chile;Parque Nacional Nahuelbuta;Lutzoni et al.;Chile		This study	epiphytic/at the base of Araucaria
P12584	Pseudocyphellaria_meyenii	lobariaceae	pseudocyphellaria	no	epiphytic	symbiotic	Chile	GoLife Chile-Puyehue-1-C1-P1	"Chile;Parque Nacional Puyehue;Lutzoni et al.;AZ, Chile"		This study	
P12588	Leptogium_sp	collemataceae	leptogium	no	terricolous	symbiotic	Chile	GoLife Chile-Angol-1-C1-P1	"Chile;Parque Nacional Nahuelbuta;Lutzoni et al.;AZ, Chile"		This study	terricolous/on moss on a boulder
P12591	Collema_sp	collemataceae	collema	no	epiphytic	symbiotic	Malaysia	GoLife Malaysia-Kinabalu-1-C1-P1	Malaysia;Kinabalu Park		This study	
P12639	Leptogium_sp	collemataceae	leptogium	no	epiphytic	symbiotic	panama	GoLife Panama-Swampo-1-C1-P1	Panama;Parque Nacional Isla Bastimentos;Nicolas Magain;Panama		This study	
